Grouped conversations by hostname.
Counted frequencies of packet lengths exchanged with each hostname.
Counted frequencies of packet sequences exchanged with each hostname.
Counted frequencies of packet pairs per hostname.
Reassembled TCP conversations occurring shortly after each user event.
========================================
       Clustering results for ON        
       Number of clusters: 2
<<< Cluster #01 (047 points) >>>
206, 191, 14.215.35.235, 192.168.2.155, S, C
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
191, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S
196, 119, 192.168.2.155, 14.215.35.235, C, S

========================================
       Clustering results for OFF        
       Number of clusters: 2
<<< Cluster #001 (000049 points) >>>
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
206, 190, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
206, 190, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
206, 190, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
206, 190, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
205, 189, 14.215.35.235, 192.168.2.155, S, C
205, 189, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
206, 190, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C
207, 191, 14.215.35.235, 192.168.2.155, S, C

<<< Cluster #002 (000050 points) >>>
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
191, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S
197, 119, 192.168.2.155, 14.215.35.235, C, S

Sequences before concatenation: 
206...
206...
206...
205...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
205...
206...
206...
206...
206...
206...
206...
205...
206...
206...
206...
206...
206...
205...
206...
206...
206...
206...
206...
206...
206...
206...
206...
196...
196...
196...
196...
196...
196...
196...
196...
191...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
Sequences before removal: 
206...
206...
206...
205...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
206...
205...
206...
206...
206...
206...
206...
206...
205...
206...
206...
206...
206...
206...
205...
206...
206...
206...
206...
206...
206...
206...
206...
206...
196...
196...
196...
196...
196...
196...
196...
196...
191...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
196...
ON Sequences: 
206...
196...
Concatenated and sorted ON signature sequences...
OFF Sequences: 
207...
197...
Concatenated and sorted OFF signature sequences...
========================================
              ON Signature              
========================================
====== SEQUENCE 1 - 47 MEMBERS ======
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
205(S-C) 190(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
205(S-C) 190(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
205(S-C) 190(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
205(S-C) 190(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
206(S-C) 191(C-S)
====== SEQUENCE 2 - 50 MEMBERS ======
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
191(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
196(C-S) 119(S-C)
========================================
              OFF Signature             
========================================
====== SEQUENCE 1 - 49 MEMBERS ======
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
206(S-C) 190(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
206(S-C) 190(C-S)
207(S-C) 191(C-S)
205(S-C) 189(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
206(S-C) 190(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
206(S-C) 190(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
206(S-C) 190(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
207(S-C) 191(C-S)
205(S-C) 189(C-S)
====== SEQUENCE 2 - 50 MEMBERS ======
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
191(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
197(C-S) 119(S-C)
========================================
           Signature Durations          
========================================
713
714
685
687
722
717
688
699
685
686
713
713
684
954
724
712
715
688
699
679
694
686
684
686
685
715
684
688
741
685
710
762
727
750
747
700
702
738
685
694
701
683
1043
684
687
694
714
714
713
715
687
701
682
683
687
679
683
683
705
707
754
1073
752
703
683
722
683
683
689
692
722
685
682
683
684
685
713
709
713
682
684
685
684
1247
704
716
686
685
696
704
684
720
712
682
711
712
========================================
Max signature duration: 1247
========================================
